TGBS21	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Chane/SAMEA3302784/alignment/SAMEA3302784.alt_bwamem_GRCh38DH.20200922.Chane.simons.cram		
ADR94072	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/001/SRR8176001/SRR8176001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/001/SRR8176001/SRR8176001_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/001/SRR8176001/SRR8176001_2.fastq.gz
ADR94211	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/000/SRR8176000/SRR8176000.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/000/SRR8176000/SRR8176000_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/000/SRR8176000/SRR8176000_2.fastq.gz
ADR94238	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/009/SRR8175999/SRR8175999.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/009/SRR8175999/SRR8175999_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/009/SRR8175999/SRR8175999_2.fastq.gz
ADR94339	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/008/SRR8175998/SRR8175998.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/008/SRR8175998/SRR8175998_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/008/SRR8175998/SRR8175998_2.fastq.gz
ADR94362	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/007/SRR8175997/SRR8175997.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/007/SRR8175997/SRR8175997_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/007/SRR8175997/SRR8175997_2.fastq.gz
ADR94215	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/006/SRR8175996/SRR8175996.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/006/SRR8175996/SRR8175996_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/006/SRR8175996/SRR8175996_2.fastq.gz
ADR94047	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/005/SRR8175995/SRR8175995.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/005/SRR8175995/SRR8175995_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/005/SRR8175995/SRR8175995_2.fastq.gz
ADR94342	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/004/SRR8175994/SRR8175994.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/004/SRR8175994/SRR8175994_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/004/SRR8175994/SRR8175994_2.fastq.gz
ADR94318	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/003/SRR8175993/SRR8175993.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/003/SRR8175993/SRR8175993_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/003/SRR8175993/SRR8175993_2.fastq.gz
ADR94337	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/002/SRR8175992/SRR8175992.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/002/SRR8175992/SRR8175992_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/002/SRR8175992/SRR8175992_2.fastq.gz
ADR94095	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/003/SRR8175983/SRR8175983.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/003/SRR8175983/SRR8175983_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/003/SRR8175983/SRR8175983_2.fastq.gz
ADR94351	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/002/SRR8175982/SRR8175982.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/002/SRR8175982/SRR8175982_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/002/SRR8175982/SRR8175982_2.fastq.gz
ADR94254	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/005/SRR8175985/SRR8175985.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/005/SRR8175985/SRR8175985_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/005/SRR8175985/SRR8175985_2.fastq.gz
ADR94364	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/004/SRR8175984/SRR8175984.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/004/SRR8175984/SRR8175984_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/004/SRR8175984/SRR8175984_2.fastq.gz
ADR94324	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/009/SRR8175979/SRR8175979.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/009/SRR8175979/SRR8175979_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/009/SRR8175979/SRR8175979_2.fastq.gz
ADR94398	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/008/SRR8175978/SRR8175978.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/008/SRR8175978/SRR8175978_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/008/SRR8175978/SRR8175978_2.fastq.gz
ADR94325	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/001/SRR8175981/SRR8175981.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/001/SRR8175981/SRR8175981_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/001/SRR8175981/SRR8175981_2.fastq.gz
ADR94396	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/000/SRR8175980/SRR8175980.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/000/SRR8175980/SRR8175980_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/000/SRR8175980/SRR8175980_2.fastq.gz
